Nstations,ETime,sdTime,lbTime,ubTime,ETimeM4,ETimeM12,ETimeM36
242,97.85214828,64.44249788,20.50746763,192.4901688,57.89158243,37.24821562,42.08458099
243,97.33517092,64.84586647,20.25641655,195.0685198,57.89205666,37.16403887,41.82100054
244,97.99579261,64.56403109,20.92223564,194.4036245,58.04886699,37.16707886,41.9865265
245,98.59955395,65.10196869,20.25142489,195.2546487,58.32364547,37.22968894,42.0942933
246,97.83014681,65.19770848,20.2025177,194.9708362,57.59490639,37.04014792,41.69526168
247,100.2572489,65.60842468,21.11753436,197.7342668,58.60282892,37.59902775,42.39843821
248,99.34576958,65.62913129,20.97332659,196.3750691,58.36960017,37.32076936,42.07208798
249,99.25239998,65.90048805,20.2216594,197.6289313,58.25733465,37.25597234,41.93925088
250,100.1809297,66.53569472,20.64133356,199.4169758,58.56978779,37.35568304,42.20119571
251,99.25799246,66.38335256,19.99614309,198.0869323,58.1734799,37.13358918,41.80227493
252,99.68957374,66.38241051,20.37394133,198.8014496,58.4559228,37.19740919,41.88407247
253,99.95221006,66.7740424,20.4186434,198.8681241,58.41384753,37.21988566,41.89388804
254,99.61331066,66.52665238,20.07908718,198.7371559,58.40276885,37.10648899,41.61672545
255,99.90804929,66.68203643,20.44043574,199.4046305,58.43325298,37.16413307,41.77354132
256,100.3089144,66.51566234,21.1798292,200.5025933,58.85068774,37.27698009,41.7735765
257,100.2517104,67.16265362,20.68565445,200.3805567,58.74901955,37.12462063,41.69947913
258,100.6227307,67.0061129,20.93910038,199.5931735,58.70968006,37.22312751,41.75643218
259,100.8412191,66.84655274,20.89769339,199.6401225,59.02326907,37.20745226,41.72999264
260,100.6580345,66.85675478,20.56232516,199.0688295,59.05176116,37.1705911,41.65530758
261,101.3992438,67.59927683,20.51268102,201.285962,58.88426833,37.16861861,41.80057311
262,101.9774642,67.73347617,20.97512736,202.5643883,59.48185789,37.39768105,41.85673841
263,101.7321071,68.28447518,20.64137433,203.944596,59.28585362,37.3026849,41.73172023
264,102.9988892,68.49304338,21.10423268,204.0504674,59.27417796,37.47800572,42.09356188
265,102.3738953,68.52108541,20.30443857,202.7022901,59.30850328,37.35354952,41.72769079
266,103.395977,69.03651621,20.52138819,204.7370736,59.3847921,37.5432022,42.02505548
267,103.0552629,69.00509734,20.64952855,205.6744196,59.40280981,37.42520415,41.81214681
268,102.8301112,68.53818471,20.61319174,204.0240286,59.58932391,37.42332982,41.71024892
269,101.4290955,68.87208285,20.25206573,204.9929771,59.10737848,37.0103988,41.21706425
270,103.188477,69.79084803,20.13584778,208.1241236,59.44223204,37.4170261,41.61096037
271,103.6374765,69.37243335,20.68451876,205.3911201,59.77451419,37.38937121,41.77992366
272,102.8263112,69.05059902,20.51382938,205.0711626,59.49089911,37.2276844,41.42408462
273,103.5633937,69.28851707,20.86772208,206.7951587,60.09352426,37.30386315,41.59477798
274,104.3104494,69.81781594,20.63256101,206.6942758,60.04726494,37.45742405,41.7443528
275,103.4369289,70.0641491,20.51676223,209.1798981,60.0609071,37.28308654,41.42204915
276,103.9648489,69.94901018,20.9144306,207.9641619,60.1326967,37.38754513,41.5146921
277,104.53471,69.76646105,21.39671776,207.3950321,60.25648961,37.47004334,41.59945316
278,104.764473,70.78608611,20.93800968,210.9710662,60.28937445,37.42559809,41.63805852
279,105.3964706,70.46380668,21.1108352,210.7847328,60.52991113,37.54328472,41.77513783
280,105.1281197,70.66180327,20.59751804,209.4839156,60.3125989,37.45443342,41.61481689
